"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Flavobacterium sp. 140616W15",185,0,320,51,0,274
"Flavobacterium sp. CECT 9288",97,0,193,0,0,165
"Flavobacterium sp. CHNK8",84,0,151,0,0,229
"Flavobacterium sp. CJ74",0,0,40,0,25,42
"Flavobacterium sp. CLA17",243,0,437,0,44,851
"Flavobacterium sp. CS20",0,0,45,0,0,0
"Flavobacterium sp. F-29",128,0,227,55,72,307
"Flavobacterium sp. F-323",196,0,3396,46,72,496
"Flavobacterium sp. F-340",152,0,257,0,62,234
"Flavobacterium sp. F-70",192,0,311,0,35,473
"Flavobacterium sp. GENT11",80,0,114,0,0,169
"Flavobacterium sp. GENT5",88,0,179,0,47,152
"Flavobacterium sp. HJ-32-4",39,164,45,0,24,43
"Flavobacterium sp. I3-2",106,0,228,0,0,164
"Flavobacterium sp. KBS0721",528,0,734,53,58,1205
"Flavobacterium sp. KK2020170",54,0,145,0,0,137
"Flavobacterium sp. KSM-R2A25",50,0,183,0,37,189
"Flavobacterium sp. KSM-R2A30",66,0,240,0,52,211
"Flavobacterium sp. LPB0248",84,0,184,0,0,247
"Flavobacterium sp. M31R6",910,0,2393,137,384,3373
"Flavobacterium sp. MDT1-60",694,0,1247,46,58,4103
"Flavobacterium sp. SHINM13",0,0,139,0,0,166
"Flavobacterium sp. SLB02",336,0,450,30,35,898
"Flavobacterium sp. Sr18",151,0,291,109,47,349
"Flavobacterium sp. WSW3-B6",27,0,43,0,0,42
"Flavobacterium sp. xlx-214",0,0,70,0,0,71
"Galbibacter sp. BG1",0,0,21,0,0,0
"Gramella flava",0,0,0,0,0,37
"Gramella fulva",0,0,0,34,0,0
"Gramella sp. MT6",0,0,0,0,0,23
"Kordia antarctica",0,0,35,0,0,27
"Lutibacter sp. A64",0,0,32,0,0,0
"Mariniflexile sp. TRM1-10",0,0,46,0,0,36
"Muricauda aurantiaca",0,0,0,0,0,21
"Muricauda ruestringensis",0,0,0,0,0,22
"Muricauda sp. SCSIO 65647",0,0,0,0,0,23
"Myroides odoratus",0,0,47,0,0,52
"Polaribacter haliotis",0,0,0,0,0,52
"Polaribacter sp. KT25b",0,0,78,0,0,0
"Robiginitalea biformata",0,0,27,0,28,30
"Salegentibacter sp. T436",0,0,86,0,0,0
"Siansivirga zeaxanthinifaciens",0,0,28,0,0,0
"Sinomicrobium sp. HD2P242",27,0,0,0,0,27
"Tenacibaculum dicentrarchi",0,0,40,0,0,0
"Tenacibaculum sp. SZ-18",0,0,0,0,0,37
"Winogradskyella helgolandensis",0,0,31,0,0,0
"Winogradskyella schleiferi",0,0,0,0,0,38
"Winogradskyella sp. HaHa_3_26",0,0,41,0,0,0
"Zobellia galactanivorans",0,0,0,0,0,22
"Zunongwangia profunda",0,0,0,0,0,55
"Zunongwangia sp. SCSIO 43204",0,0,0,0,0,57
"Owenweeksia hongkongensis",0,0,24,0,0,0
"Chryseobacterium arthrosphaerae",0,0,0,0,0,57
"Chryseobacterium balustinum",0,0,75,0,0,77
"Chryseobacterium carnipullorum",0,0,0,0,0,68
"Chryseobacterium glaciei",409,0,0,0,0,66
"Chryseobacterium indologenes",71,0,0,0,0,111
"Chryseobacterium indoltheticum",0,0,54,0,0,141
"Chryseobacterium piperi",0,0,0,0,0,22
"Chryseobacterium salivictor",0,0,50,0,0,0
"Chryseobacterium shandongense",0,0,0,0,0,87
"Chryseobacterium sp. 3008163",0,0,0,0,0,224
"Chryseobacterium sp. C-17",0,0,48,0,0,119
"Chryseobacterium sp. G0201",157,0,0,0,0,178
"Chryseobacterium sp. IHB B 17019",0,0,0,0,0,38
"Chryseobacterium sp. LJ668",0,0,0,0,0,46
"Chryseobacterium sp. MEBOG06",0,0,0,0,0,24
"Chryseobacterium sp. T16E-39",0,0,0,0,0,24
"Chryseobacterium sp. Y16C",0,0,80,0,0,93
"Chryseobacterium sp. ZHDP1",0,0,0,0,0,150
"Chryseobacterium taklimakanense",0,0,0,0,0,73
"Epilithonimonas vandammei",0,0,0,0,0,154
"Kaistella jeonii",0,0,39,0,0,0
"Kaistella sp. 97-N-M2",0,0,34,0,0,0
"Haliscomenobacter hydrossis",52,0,47,29,32,77
"Rhodocaloribacter litoris",280,256,313,228,261,380
"Rhodothermus marinus",241,252,237,176,249,321
"Salinibacter ruber",145,166,161,156,143,207
"Anseongella ginsenosidimutans",31,0,43,22,23,40
"Mucilaginibacter celer",38,0,62,29,129,49
"Mucilaginibacter daejeonensis",0,0,43,0,21,31
"Mucilaginibacter ginkgonis",27,0,27,0,26,41
"Mucilaginibacter ginsenosidivorans",34,0,36,38,97,46
"Mucilaginibacter ginsenosidivorax",45,0,50,135,413,93
"Mucilaginibacter gossypii",0,0,0,0,127,51
"Mucilaginibacter gotjawali",31,53,47,31,111,44
"Mucilaginibacter mali",35,0,56,32,56,43
"Mucilaginibacter mallensis",37,0,45,26,130,82
"Mucilaginibacter paludis",35,0,51,24,83,56
"Mucilaginibacter rubeus",187,0,179,115,667,227
"Mucilaginibacter sp. 14171R-50",38,0,63,29,63,92
"Mucilaginibacter sp. 21P",25,0,45,0,46,37
"Mucilaginibacter sp. F39-2",26,0,0,0,45,29
"Mucilaginibacter xinganensis",34,0,40,26,186,56
"Olivibacter sp. LS-1",0,0,0,0,0,23
"Pedobacter aquae",0,0,33,0,0,0
"Pedobacter cryoconitis",32,0,63,0,0,72
"Pedobacter endophyticus",24,0,38,0,23,57
"Pedobacter ginsengisoli",131,0,236,0,0,132
"Pedobacter heparinus",45,0,89,0,0,65
"Pedobacter roseus",46,0,49,0,0,103
"Pedobacter schmidteae",61,0,92,0,0,51
"Pedobacter sp. D749",78,0,120,0,51,1315
"Pedobacter sp. G11",62,0,83,0,0,126
"Pedobacter sp. HDW13",44,0,44,0,24,73
"Pedobacter sp. KBS0701",54,0,76,0,34,201
"Pedobacter sp. PACM 27299",98,0,80,0,0,50
"Pedobacter sp. Q8-18",54,0,60,0,0,92
"Pedobacter sp. SW-16",74,42,79,34,0,145
"Pedobacter steynii",29,0,136,0,24,41
"Pedobacter suwonensis",42,0,52,0,0,61
"Pseudopedobacter saltans",0,0,89,0,0,0
"Solitalea canadensis",38,50,34,0,22,51
"Solitalea sp. S2-8",38,0,35,0,40,81
"Sphingobacterium sp. DR205",0,0,0,0,0,37
"Sphingobacterium sp. SRCM116780",0,0,0,0,0,26
"Sphingobacterium sp. UDSM-2020",0,0,108,0,0,68
"Sphingobacterium spiritivorum",139,0,158,0,0,154
"Caldithrix abyssi",38,26,24,29,31,42
"Candidatus Babela massiliensis",0,0,0,0,0,20
"Candidatus Protochlamydia naegleriophila",0,37,0,0,0,0
"Neochlamydia sp. S13",0,25,0,0,0,0
"Parachlamydia acanthamoebae",45,39,0,0,0,0
"Chlorobaculum limnaeum",75,88,98,81,95,97
"Chlorobaculum parvum",41,40,50,47,42,64
"Chlorobaculum tepidum",47,51,40,27,46,44
"Chlorobium limicola",23,0,28,24,0,0
"Pelodictyon luteolum",40,0,38,43,50,43
"Prosthecochloris aestuarii",0,0,0,0,0,31
"Prosthecochloris sp. GSB1",36,40,35,37,23,35
"Anaerolinea thermophila",64,48,53,57,36,71
"Brevefilum fermentans",0,20,24,0,0,28
"Pelolinea submarina",53,27,27,57,32,80
"Candidatus Promineofilum breve",228,273,472,182,199,382
"Caldilinea aerophila",118,99,146,123,112,218
"Phototrophicus methaneseepsis",26,22,24,34,31,43
"Chloroflexus aggregans",34,44,34,29,44,55
"Chloroflexus aurantiacus",32,34,34,52,50,67
"Roseiflexus castenholzii",144,135,90,101,125,163
"Roseiflexus sp. RS-1",130,140,116,118,115,183
"Ktedonosporobacter rubrisoli",37,58,24,56,59,103
"Thermobaculum terrenum",37,45,38,47,66,61
"Tepidiforma bonchosmolovskayae",245,317,321,250,265,395
"Sphaerobacter thermophilus",295,505,381,373,374,547
"Thermomicrobium roseum",87,103,82,77,107,136
"Desulfurispirillum indicum",36,0,0,0,41,34
"Chroococcidiopsis thermalis",0,0,0,0,0,26
"Anthocerotibacter panamensis",20,23,30,22,21,39
"Gloeobacter kilaueensis",79,91,81,78,106,117
"Gloeobacter morelensis",74,62,83,65,106,106
"Gloeobacter violaceus",60,87,73,103,92,100
"Deinococcus actinosclerus",137,184,153,148,133,176
"Deinococcus deserti",32,34,37,33,30,63
"Deinococcus ficus",102,73,81,84,96,116
"Deinococcus geothermalis",71,79,76,81,85,76
"Deinococcus gobiensis",76,96,114,103,80,154
"Deinococcus irradiatisoli",72,84,62,76,76,109
"Deinococcus maricopensis",80,117,109,123,125,168
"Deinococcus metallilatus",83,127,111,109,107,143
"Deinococcus peraridilitoris",79,71,70,73,76,74
"Deinococcus proteolyticus",42,47,57,37,56,67
"Deinococcus psychrotolerans",36,35,35,49,41,51
"Deinococcus puniceus",23,0,33,0,22,26
"Deinococcus radiodurans",78,56,48,58,127,101
"Deinococcus radiophilus",0,36,34,34,29,34
"Deinococcus radiopugnans",52,51,61,67,50,54
"Deinococcus soli (ex Cha et al. 2016)",70,137,90,84,78,116
"Deinococcus sp. AJ005",47,62,70,48,56,58
"Deinococcus sp. KNUC1210",55,82,43,63,58,68
"Deinococcus sp. NW-56",86,131,100,107,96,138
"Deinococcus sp. TS-293",60,86,66,69,77,92
"Deinococcus wulumuqiensis",96,89,83,92,86,135
"Marinithermus hydrothermalis",85,106,89,132,132,134
"Meiothermus ruber",45,48,44,56,47,47
"Meiothermus silvanus",70,70,81,65,61,94
"Meiothermus taiwanensis",46,59,40,43,47,57
"Oceanithermus profundus",150,181,161,183,199,190
"Thermus aquaticus",27,41,36,0,36,36
"Thermus brockianus",27,35,0,29,33,34
"Thermus caldilimi",0,0,0,0,0,28
"Thermus oshimai",40,37,39,44,31,56
"Thermus sp. CCB_US3_UF1",34,30,31,0,30,56
"Thermus thermophilus",129,169,197,142,139,216
"Truepera radiovictrix",104,169,154,121,127,188
"Fibrobacter succinogenes",0,0,0,0,21,0
"Alicyclobacillus acidocaldarius",105,160,154,137,148,194
"Kyrpidia spormannii",0,41,0,41,0,58
"Tumebacillus algifaecis",46,51,39,61,38,71
"Tumebacillus avium",108,144,120,120,124,123
"Anoxybacillus sediminis",87,127,110,76,78,125
"Bacillus [Brevibacterium] frigoritolerans",109,146,104,70,146,357
"Bacillus aquiflavi",0,0,0,0,29,0
"Bacillus cereus",0,342,0,0,3446,0
"Bacillus dafuensis",0,0,0,0,82,41
"Bacillus glycinifermentans",0,0,0,0,0,39
"Bacillus infantis",0,0,0,0,31,0
"Bacillus methanolicus",0,0,0,0,36,0
"Bacillus mycoides",209,992,367,721,1368,922
"Bacillus pseudomycoides",0,0,0,0,0,31
"Bacillus pumilus",0,0,0,0,44,0
"Bacillus sp. 1NLA3E",71,43,0,129,183,119
"Bacillus sp. FJAT-18017",0,0,0,0,29,0
"Bacillus sp. FJAT-22090",0,35,0,0,56,0
"Bacillus sp. FJAT-42376",0,0,0,0,29,0
"Bacillus sp. NP157",138,75,139,125,138,180
"Bacillus sp. OxB-1",0,0,0,0,29,0
"Bacillus sp. S3",0,0,0,0,97,43
"Bacillus sp. Y1",0,0,0,0,55,35
"Bacillus subtilis",0,0,0,0,396,0
"Bacillus thuringiensis",0,0,0,0,90,0
"Caldalkalibacillus thermarum",0,0,0,0,32,0
"Cytobacillus ciccensis",0,47,0,44,103,0
"Cytobacillus kochii",0,0,0,0,56,0
"Cytobacillus oceanisediminis",0,0,0,0,43,45
"Geobacillus stearothermophilus",0,0,0,0,0,115
"Geobacillus subterraneus",127,149,155,133,153,89
"Halobacillus halophilus",0,0,0,0,24,0
"Heyndrickxia oleronia",0,0,0,0,40,0
"Heyndrickxia vini",0,0,0,0,28,0
"Hydrogenibacillus sp. N12",124,168,159,179,157,193
"Lederbergia lenta",0,0,0,0,32,0
"Lysinibacillus agricola",0,41,0,0,42,0
"Lysinibacillus parviboronicapiens",0,47,0,0,48,0
"Lysinibacillus sp. 2017",0,0,0,0,78,0
"Lysinibacillus sp. SGAir0095",0,0,0,0,47,0
"Lysinibacillus timonensis",0,0,0,0,39,0
"Mesobacillus foraminis",0,0,0,0,45,0
"Metabacillus dongyingensis",0,0,0,0,0,78
"Metabacillus sediminilitoris",0,39,0,42,102,48
"Metabacillus sp. KUDC1714",0,41,0,0,84,34
"Neobacillus drentensis",0,0,0,0,68,0
"Neobacillus mesonae",0,0,0,0,47,42
"Niallia circulans",0,0,0,0,54,0
"Oceanobacillus zhaokaii",0,0,0,0,75,39
"Parageobacillus caldoxylosilyticus",0,0,0,63,0,0
"Peribacillus asahii",43,57,0,77,212,79
"Peribacillus butanolivorans",36,91,0,85,169,124
"Peribacillus psychrosaccharolyticus",34,33,0,0,86,34
"Peribacillus simplex",129,86,112,73,130,260
"Pradoshia sp. D12",0,0,0,34,0,35
"Priestia flexa",0,0,0,0,32,0
"Priestia megaterium",83,332,38,162,757,233
"Psychrobacillus glaciei",0,34,0,0,53,0
"Psychrobacillus sp. INOP01",47,36,0,41,75,0
"Salicibibacter cibi",0,0,0,0,23,0
"Salisediminibacterium selenitireducens",0,0,0,0,0,27
"Sutcliffiella horikoshii",0,0,0,0,34,0
"Weizmannia coagulans",46,34,42,46,48,65
"Brevibacillus agri",60,92,63,69,57,66
"Brevibacillus brevis",47,0,0,42,56,49
"Brevibacillus choshinensis",0,30,0,31,0,32
"Brevibacillus composti",40,77,94,55,60,59
"Brevibacillus marinus",56,79,54,58,66,96
"Brevibacillus sp. HD3.3A",40,38,53,32,30,61
"Brevibacillus sp. MMS20-4M-10-Y",28,33,29,0,0,27
"Cohnella candidum",51,86,99,72,70,102
"Cohnella cholangitidis",0,0,0,26,0,33
"Cohnella sp. LGH",62,46,52,57,83,85
"Cohnella sp. MFER-1",0,26,26,0,23,43
"Paenibacillus albicereus",157,206,176,205,167,237
"Paenibacillus albus",32,0,0,0,29,53
"Paenibacillus algicola",0,0,0,0,24,0
"Paenibacillus antarcticus",31,51,0,32,45,0
"Paenibacillus azoreducens",0,32,0,0,0,0
"Paenibacillus beijingensis",45,46,35,46,39,50
"Paenibacillus borealis",0,0,0,0,0,46
"Paenibacillus cellulosilyticus",27,0,42,26,0,28
"Paenibacillus cellulositrophicus",35,43,28,42,55,61
"Paenibacillus chitinolyticus",36,42,41,46,44,56
"Paenibacillus dendritiformis",62,70,79,68,65,79
"Paenibacillus donghaensis",25,44,0,36,35,40
"Paenibacillus durus",0,40,49,52,41,0
"Paenibacillus ihbetae",29,29,29,28,45,53
"Paenibacillus lycopersici",86,89,74,96,78,144
"Paenibacillus macerans",54,33,53,44,58,63
"Paenibacillus mucilaginosus",104,112,105,117,127,138
"Paenibacillus naphthalenovorans",31,0,0,0,0,31
"Paenibacillus odorifer",31,0,0,0,0,33
"Paenibacillus physcomitrellae",0,0,0,0,0,55
"Paenibacillus protaetiae",0,0,0,0,0,30
"Paenibacillus psychroresistens",39,72,34,46,65,57
"Paenibacillus rhizovicinus",66,46,54,72,88,94
"Paenibacillus sabinae",39,34,0,0,42,64
"Paenibacillus sp. 32O-W",77,102,78,94,92,91
"Paenibacillus sp. B01",218,248,234,233,219,242
"Paenibacillus sp. BIHB4019",28,0,36,23,34,41
"Paenibacillus sp. FSL H7-0357",42,0,35,0,32,46
"Paenibacillus sp. FSL H7-0737",0,0,0,0,86,0
"Paenibacillus sp. FSL R7-0273",0,41,0,0,0,0
"Paenibacillus sp. FSL R7-0331",0,0,0,0,33,50
"Paenibacillus sp. H1-7",29,26,0,39,37,50
"Paenibacillus sp. HWE-109",44,67,27,52,64,64
"Paenibacillus sp. JZ16",0,77,0,0,41,0
"Paenibacillus sp. R14(2021)",58,38,44,87,69,63
"Paenibacillus sp. RUD330",89,65,104,101,86,144
"Paenibacillus sp. sptzw28",0,0,0,36,28,34
"Paenibacillus sp. URB8-2",0,31,0,0,31,35
"Paenibacillus sp. YPD9-1",0,0,0,0,25,28
"Paenibacillus stellifer",37,54,44,61,0,73
"Paenibacillus thiaminolyticus",41,32,49,48,61,54
"Paenibacillus tianjinensis",0,0,0,0,0,31
"Paenibacillus tritici",0,0,32,0,36,29
"Paenibacillus xylanexedens",71,81,0,0,123,0
"Paenibacillus yonginensis",0,0,0,0,0,60
"Saccharibacillus brassicae",74,105,72,61,87,86
"Thermobacillus composti",140,146,130,130,111,161
"Exiguobacterium alkaliphilum",0,45,56,42,0,50
"Exiguobacterium sibiricum",0,0,0,0,0,40
"Solibacillus sp. R5-41",0,0,0,0,59,0
"Sporosarcina psychrophila",97,59,182,94,132,0
"Sporosarcina sp. Marseille-Q4063",93,40,187,57,108,104
"Sporosarcina sp. resist",157,60,250,112,141,0
"Sporosarcina sp. Te-1",0,0,0,0,26,0
"Sporosarcina ureae",42,29,58,0,43,0
"Sporosarcina ureilytica",0,0,36,0,0,0
"Viridibacillus sp. JNUCC-6",0,51,0,0,36,0
"Staphylococcus aureus",0,144,0,0,0,0
"Exiguobacterium mexicanum",0,0,0,49,0,0
"Kroppenstedtia eburnea",37,29,46,50,39,50
"Novibacillus thermophilus",0,29,0,32,38,38
"Polycladomyces abyssicola",0,23,24,0,29,25
"Staphylospora marina",35,45,38,42,40,67
"Thermoactinomyces vulgaris",0,28,0,30,30,43
"Limosilactobacillus fermentum",0,0,0,78,0,0
"Christensenella minuta",0,0,0,0,32,0
"Christensenella sp. Marseille-P3954",75,80,71,67,75,139
"Clostridium baratii",0,0,52,0,0,0
"Clostridium botulinum",0,0,0,0,77,0
"Clostridium estertheticum",0,0,0,157,48,50
"Clostridium gasigenes",0,95,0,0,48,74
"Clostridium perfringens",0,0,124,0,0,0
"Clostridium sp. C5S11",67,0,0,156,93,153
"Carboxydocella thermautotrophica",0,0,0,0,0,24
"Flintibacter sp. KGMB00164",0,0,0,0,24,35
"Intestinimonas butyriciproducens",51,45,82,35,38,73
"Thermaerobacter marianensis",148,171,142,162,176,185
"Thermaerobacter sp. FW80",146,225,178,211,156,241
"Thermaerobacter sp. PB12/4term",118,131,144,152,137,181
"Heliomicrobium modesticaldum",93,77,78,76,94,119
"Caproicibacter fermentans",0,0,0,0,34,29
"Caproiciproducens sp. NJN-50",33,30,28,34,35,49
"Dysosmobacter sp. Marseille-Q4140",51,76,50,58,43,64
"Dysosmobacter welbionis",0,67,0,0,55,56
"Ethanoligenens harbinense",45,32,39,39,33,45
"Faecalibacterium prausnitzii",295,242,233,331,213,343
"Flavonifractor plautii",86,84,79,85,82,92
"Oscillibacter sp. NSJ-62",0,37,42,52,0,31
"Ruthenibacterium lactatiformans",51,52,36,47,36,72
"Vescimonas coprocola",0,0,0,66,0,99
"Vescimonas fastidiosa",0,88,122,0,0,0
"Acididesulfobacillus acetoxydans",0,0,0,41,29,0
"Candidatus Desulforudis audaxviator",48,49,60,41,53,85
"Symbiobacterium thermophilum",174,271,186,195,224,261
"Caloranaerobacter azorensis",0,0,0,0,0,34
"Iocasia fonsfrigidae",0,34,0,0,0,0
"Natranaerofaba carboxydovora",0,22,21,31,0,25
"Ammonifex degensii",23,39,25,28,35,52
"Carboxydothermus hydrogenoformans",27,0,23,0,0,0
"Gelria sp. Kuro-4",55,57,60,66,69,106
"Moorella glycerini",0,0,0,40,38,36
"Moorella thermoacetica",0,0,31,0,41,43
"Thermacetogenium phaeum",60,79,117,72,55,79
"Thermanaeromonas toyohensis",0,0,0,0,0,26
"Faecalibaculum rodentium",0,0,0,0,0,30
"Limnochorda pilosa",154,234,180,168,215,247
"Acidaminococcus fermentans",0,0,0,0,0,24
"Phascolarctobacterium faecium",0,0,0,0,0,23
"Selenomonas sp. oral taxon 126",47,71,68,55,38,91
"Selenomonas sp. oral taxon 920",0,35,0,42,61,40
"Selenomonas sputigena",57,85,57,44,63,76
"Selenomonas timonae",33,0,45,28,34,45
"Pelosinus fermentans",0,0,0,0,0,32
"Pelosinus sp. UFO1",0,0,0,0,27,0
"Sporomusa termitida",0,0,23,25,0,0
"Megasphaera elsdenii",0,25,29,36,0,39
"Megasphaera stantonii",0,48,50,0,49,62
"Gemmatimonas aurantiaca",369,243,274,331,311,555
"Gemmatimonas groenlandica",534,339,429,451,439,775
"Gemmatimonas phototrophica",319,197,228,297,254,502
"Gemmatirosa kalamazoonesis",2283,1757,1344,2125,1903,2438
"Ignavibacterium album",0,0,24,0,0,0
"Kiritimatiella glycovorans",253,216,203,162,186,273
"Tichowtungia aerotolerans",33,27,27,40,52,38
"Nitrospira Candidatus Nitrospira inopinata",257,118,195,108,142,227
"Nitrospira japonica",417,251,270,141,188,288
"Nitrospira moscoviensis",680,320,493,257,299,604
"Nitrospira sp. KM1",456,198,267,96,162,311
"Candidatus Kuenenia stuttgartiensis",25,25,20,0,24,29
"Mucisphaera calidilacus",128,110,143,96,126,197
"Phycisphaera mikurensis",194,213,264,200,197,279
"Poriferisphaera corsica",23,0,26,0,26,0
"Anaerohalosphaera lusitana",24,0,37,33,30,33
"Limihaloglobus sulfuriphilus",28,0,0,0,0,0
"Humisphaera borealis",624,499,526,515,634,711
"Frigoriglobus tundricola",1410,1381,1343,1457,1484,1919
"Gemmata massiliana",752,715,749,726,701,1005
"Gemmata obscuriglobus",1126,1072,1126,1046,996,1409
"Gemmata sp. SH-PL17",703,702,748,650,609,1022
"Limnoglobus roseus",958,987,981,940,1112,1109
"Telmatocola sphagniphila",147,137,153,128,183,170
"Tuwongella immobilis",142,170,145,137,183,145
"Urbifossiella limnaea",1945,1793,1878,1957,1810,2375
"Aquisphaera giovannonii",1138,1504,1034,1852,2281,1465
"Isosphaera pallida",123,135,145,138,168,143
"Paludisphaera borealis",1066,1185,979,1812,2038,1136
"Singulisphaera acidiphila",795,1007,750,1347,1562,1692
"Tautonia plasticadhaerens",988,1138,909,1278,1641,1179
"Adhaeretor mobilis",109,151,190,88,107,171
"Aeoliella mucimassa",200,253,302,171,166,234
"Botrimarina mediterranea",488,524,671,357,325,522
"Bythopirellula goksoeyrii",108,135,163,86,71,127
"Lacipirellula limnantheis",715,880,1279,424,386,1065
"Lacipirellula parvula",704,832,1211,490,405,1048
"Pirellulimonas nuda",533,609,662,360,379,588
"Anatilimnocola aggregata",529,443,673,435,380,663
"Aureliella helgolandensis",72,45,76,52,56,74
"Bremerella volcania",269,233,319,174,197,325
"Lignipirellula cremea",371,409,502,305,331,471
"Mariniblastus fucicola",62,72,68,49,56,67
"Pirellula sp. SH-Sr6A",64,53,61,39,52,89
"Pirellula staleyi",223,206,293,189,149,286
"Rhodopirellula baltica",71,90,73,46,42,85
"Roseimaritima multifibrata",58,56,61,54,52,67
"Roseimaritima ulvae",176,167,209,125,146,210
"Rosistilla carotiformis",78,106,115,65,108,122
"Rosistilla oblonga",148,163,179,123,105,135
"Rosistilla ulvae",88,76,125,72,81,148
"Rubripirellula lacrimiformis",100,97,137,88,79,136
"Stieleria maiorica",235,161,246,160,152,240
"Stieleria neptunia",175,190,175,147,173,217
"Thermogutta terrifontis",61,65,78,76,72,82
"Alienimonas californiensis",248,241,286,239,229,292
"Calycomorphotria hydatis",83,71,92,71,97,118
"Caulifigura coniformis",439,461,567,324,354,613
"Crateriforma conspicua",106,106,120,76,82,106
"Fuerstiella marisgermanici",78,61,91,71,90,122
